,ina,fin
111,ræiɡi,rei̯kæ
112,t͡ʃu̯ærvi,sɑrʋi
113,hi̯ævuʃ,heʋonen
114,olvoð,ulʋoɑ
115,nelɡi,nælkæ
116,mi̯æt͡sæstið,met͡sæstæː
117,kirɐtːið,kiːrehtiæ
118,mun,minæ
119,jieŋɐ,jæː
120,kovos,kuʋio
121,pyeredið,pɑrɑntɑː
122,lɑsɑnið,lisæːntyæ
123,kot͡ʃːoð,kut͡suɑ
124,ryevdi,rɑu̯tɑ
125,etːɐ,esine
126,ilo,ilo
127,si̯æilutːið,sæi̯lytːæː
128,kunɐɡɐs,kuniŋːɑs
129,koðːeːð,kutoɑ
130,t͡ʃuolmɐ,solmu
131,tietːið,tie̯tæː
132,jævri,jærʋi
133,kielɐ,kie̯li
134,ɑsɐtːið,ɑsetːɑː
135,læʃki,lɑi̯skɑ
136,lostɐ,lehti
137,opːɐð,opːiɑ
138,jyelɡi,jɑlkɑ
139,kirje,kirje
140,ɲu̯ælːuð,nuo̯lːɑ
141,eːlːim,elæmæ
142,kuldɐlið,kuːnːelːɑ
143,kyermi,kuo̯rmɑ
144,ket͡ʃːɐð,kɑt͡soɑ
145,uːt͡sːɐð,et͡siæ
146,mitːedið,mitɑtɑ
147,lekitːɐs,læːke
148,muʃto,mui̯sti
149,iːloːʃ,iloi̯nen
150,ɑlmotːɐs,ilmoi̯tus
151,koskɐpeivi,keskipæi̯ʋæ
152,koskɐ,keskus
153,vɑhe,ʋikɑ
154,t͡ʃuoʃkɐ,sæːski
155,væːri,ʋuo̯ri
156,lihɐtːið,liːkutːɑː
157,lihɐdið,liːkːuɑ
158,nomːɐ,nimi
159,niske,niskɑ
160,næːpi,nɑpɑ
161,peːsi,pesæ
162,ij ku̯æssin,ei̯ koskɑːn
163,uːðɐs,uːsi
164,uːðɐs,uːtinen
165,ijːɐ,yø̯
166,ɲune,nenæ
167,ij,ei̯
168,hu̯æmæʃið,huo̯mɑtɑ
169,næːvt,næi̯n
170,væː,ʋɑi̯n
171,ævustið,ɑʋɑtɑ
172,æːvus,ɑʋonɑi̯nen
173,nubːe,muː
174,omɐstið,omistɑː
175,ki̯æmæd,kæmːen
176,vɑnhimeh,ʋɑnhemːɑt
177,u̯æsi,osɑ
178,kulːɐð,kuluɑ
179,lu̯ætu,luo̯to
180,kod͡zːɐ,kynsi
181,mæksið,mɑksɑː
182,vu̯æsku,ɑhʋen
183,kove,kuʋɑ
184,kæpːælɐh,kɑpːɑle
185,ʃɑhe,sikɑ
186,peːt͡si,petæjæ
187,kyeppi,kuo̯pːɑ
188,pæikːi,pɑi̯kːɑ
189,kevhi,køy̯hæ
190,t͡ʃu̯ælɡui,sɑlko
191,pæːti,pɑtɑ
192,vɑlmɐʃtið,ʋɑlmistɑː
193,hɑdːe,hintɑ
194,vɑlmɐʃtið,ʋɑlmistɑː
195,lopedið,luʋɑtɑ
196,suojɐlið,suo̯jelːɑ
197,luːhɐð,lukeɑ
198,tubdɐð,tunːistɑː
199,tuoibuð,toi̯puɑ
200,viːpːɐð,ʋiːpyæ
201,muʃtæð,mui̯stɑː
202,suːijɐð,sujuɑ
203,suormɐs,sormus
204,t͡ʃuoijɐð,soi̯dɑ
205,juːhɐ,joki
206,kætːu,kɑtːo
207,suːḥɐð,sou̯tɑː
208,hɑldɐʃið,hɑlːitɑ
209,meːrɐ,meri
210,nievdɐð,næhdæ
211,t͡ʃit͡ʃːɐm,sei̯t͡semæn
212,puʃteð,pudistɑː
213,pæʃtið,pɑi̯stɑː
214,pæiði,pɑi̯tɑ
215,kævpːi,kɑu̯pːɑ
216,ridːo,rɑntɑ
217,u̯ælɡi,olkɑ
218,ræːvhu,rɑu̯hɑ
219,lævluð,lɑu̯lɑː
220,vu̯æijuð,ʋɑjotɑ
221,iʃtɐð,istuːtuɑ
222,kutːɐ,kuːsi
223,ɑse,iho
224,korːɐ,kuo̯ri
225,suovɐ,sɑʋu
226,ʃoːlːɐd,sileæ
227,lɑːvlɐ,lɑu̯lu
228,jienɐ,æːni
229,pilːedið,pilɑtɑ
230,u̯ærreː,orɑʋɑ
231,t͡su̯æpt͡suð,sei̯soɑ
232,tæsni,tæhti
233,tuhme,tyhmæ
234,keːsi,kesæ
235,ɲielːɐð,nie̯lːæ
236,ɲuht͡ʃɐ,jou̯t͡sen
237,vuoijɐð,ui̯dɑ
238,hi̯æiluð,hei̯luɑ
239,hi̯æilutːið,hei̯lutːɑː
240,pevdi,pøy̯tæ
241,mæːhu,mɑku
242,koːɲɐl,kyːnel
243,æʃːi,ɑsiɑ
244,ku̯ælmæd,kolmɑs
245,tæːt,tæmæ
246,tuhːæːt,tuhɑt
247,kulmɐ,kolme
248,æiɡi,ɑi̯kɑ
249,kuoskɐtːið,kosketːɑː
250,kuoskɐð,koskeɑ
251,ruŋɡo,ruŋko
252,tuotɐ,tosi
253,puðkːɐ,putki
254,kyehti,kɑksi
255,i̯ænui,eno
256,suonɐ,suo̯ni
257,jienɐ,æːni
258,su̯æti,sotɑ
259,posɐlið,pestæ
260,posɐdɐtːɐð,pesey̯tyæ
261,ket͡ʃːɐð,kɑt͡soɑ
262,mij,me
263,kæivu,kɑi̯ʋo
264,u̯ærji,orjɑ
265,miː,mikæ
266,vielɡɐd,ʋɑlkeɑ
267,kiː,ken
268,pu̯æjui,pɑju
269,tælvi,tɑlʋi
270,mɑːilm,mɑːilmɑ
271,mæːtu,mɑto
272,hævːi,hɑːʋɑ
273,tij,te
274,ɲuorɐs,nuo̯ri
275,ɑpseð,hɑi̯stɑː
276,ɑlme,ilmɑ
277,æimi,æi̯mæ
278,t͡ʃæːnæ,sie̯ni
279,t͡ʃeːt͡si,setæ
280,t͡ʃiðːɐ,sysi
281,t͡ʃivle,syːlæ
282,t͡ʃuːdɐ,suː
283,t͡ʃuomɐ,suo̯mu
284,tuomɐ,tuo̯mi
285,jegːi,jæŋkæ
286,kievðɑ,køy̯si
287,kud͡ʒːɐ,kusi
288,kuoʃkɐ,koski
289,liemɐ,lie̯mi
290,lievlɐ,løy̯ly
291,lyepi,lɑpɑ
292,moːnːɐð,menːæ
293,mɑnje,miniæ
294,miehtɑ,mætæs
295,mote,mutɑ
296,nieidɐ,nei̯ti
297,pelgi,peu̯kɑlo
298,pu̯ægui,pyː
299,puːrːɐð,purːɑ
300,purgɐ,purku
301,posːoːð,puhuɑ
302,puolvɐ,polʋi
303,sæpːi,sɑpːi
304,solːɐ,syli
305,toːhɐð,tehdæ
306,tɑve,syʋæ
307,tu̯æru,torɑ
308,tu̯ærːuð,toruɑ
309,tun,sinæ
310,vɑijeːð,ʋoi̯dɑ
311,vuobdɐ,onsi
312,vyebdið,ɑntɑː
313,vuopːɐ,ɑpːi
314,vu̯æpːuð,ɑpːɑː
315,vuoptɐ,hɑpsi
316,vɑje,ʋihɑ
317,koskɐ,keski
318,ryeksi,rɑu̯hɑnen
319,viehɐ,ʋæki
320,luohtɐ,lɑhti
321,ɑlge,ylkæ
322,pɑse,pyhæ
323,kyesːi,kɑnsɑ
324,nu̯æidi,noi̯tɑ
325,sɑje,sijɑ
326,sijdɐ,hiːsi
327,suːhɐ,suku
328,vyerbi,ɑrpɑ
329,puːrjɐs,purje
330,t͡sɑgːe,tyŋkæ
331,t͡ʃevŋi,sɑu̯ʋɑ
332,t͡ʃu̯ælmi,sɑlmi
333,tu̯æli,tolɑ
334,tupːɐ,tupːi
335,tyeʎi,tɑljɑ
336,tyevli,tɑu̯lɑ
337,kɑpːeːr,kypæræ
338,kiegːi,keŋkæ
339,kuoŋɐr,kɑːri
340,ku̯æðfi,kotʋɑ
341,læbd͡ʒi,læmsæ
342,lote,lutɑ
343,lyevi,lɑʋɑ
344,ruodɐs,rɑnːe
345,oːmɐs,ihme
346,kolbɐ,kilpi
347,t͡ʃyeti,sɑtɑ
348,mielɐ,mie̯li
349,voːrɐs,ʋeres
